,text,label
0,have order data cable get well finish work product,NOTISSUE
1,love phone,NOTISSUE
2,get well finish product,NOTISSUE
3,not be happier,NOTISSUE
4,be look headset long time now have get,NOTISSUE
5,headset start ring no reason,ISSUE
6,display be excellent camera be good year,NOTISSUE
7,battery life be also great,NOTISSUE
8,worst phone have ever have have few month,ISSUE
9,not good item work start have problem auto reverse tape player,ISSUE
10,be embarrass also ear hurt try push ear plug ear,ISSUE
11,protect phone side,NOTISSUE
12,be average phone bad battery life operate weak network,ISSUE
13,clear skye call long battery life long range,NOTISSUE
14,solo technology suck,ISSUE
15,great hand free device,NOTISSUE
16,can even take self portrait outside exterior display cool,NOTISSUE
17,same problem others have mention,ISSUE
18,try many many handsfree gadget be one finally work well,NOTISSUE
19,magical help,NOTISSUE
20,worst piece of crap ever along version customer service,ISSUE
21,poor sound quality,ISSUE
22,best phone market,NOTISSUE
23,work well,NOTISSUE
24,company ship product promptly work well,NOTISSUE
25,exactly want,NOTISSUE
26,picture resolution be far comparably price phone be offer today,ISSUE
27,be great deal,NOTISSUE
28,excellent product satisfy purchase,NOTISSUE
29,highly recommend encourage people give try,NOTISSUE
30,better expect,NOTISSUE
31,use earpiece leave right thing not stay ear,ISSUE
32,great product price,NOTISSUE
33,sound good reasonably price effective simple,NOTISSUE
34,disappointment,ISSUE
35,prompt service,NOTISSUE
36,excellent product price,NOTISSUE
37,please headset,NOTISSUE
38,do not waste money time,ISSUE
39,especially love long battery life,NOTISSUE
40,be stupid have keep buy new charger car charger cradle headphone car kit every time new phone come,ISSUE
41,work great,NOTISSUE
42,plantronics bluetooth excellent buy,NOTISSUE
43,come version singular have nicer cell phone first thing notice be really bad service,ISSUE
44,be look new earpiece,NOTISSUE
45,be look new earpiece jawbone era be awesome,NOTISSUE
46,receive white color battery go dead couple hoursthe original use last week still last longer thereplacement,ISSUE
47,year battery go completely dead headset,ISSUE
48,have use several phone two year one be best,NOTISSUE
49,awesome new look fall 2000,NOTISSUE
50,be first phone have have have be cheaply make,NOTISSUE
51,att be not clear sound be distort have yell talk,ISSUE
52,price be good,NOTISSUE
53,plastic break really easy clip,ISSUE
54,do not make same mistake do,NOTISSUE
55,oh forget also mention weird color effect have phone,ISSUE
56,use river spine case fit fine,NOTISSUE
57,also area unit break not fond of magnetic strap,ISSUE
58,overall psyched have phone have appointment contact get great reception,NOTISSUE
59,every thing phone work perfectly like,NOTISSUE
60,another note phone appearance be really look rather bland especially black model,ISSUE
61,be really easy,NOTISSUE
62,sanyo have survive dozen of drop blackton without ill effect,NOTISSUE
63,fantastic earphone,NOTISSUE
64,find cell phone right away enter car,NOTISSUE
65,low quality,ISSUE
66,do get better reception clarity phone have have,NOTISSUE
67,warn stay away,ISSUE
