;label;text
0;NOTISSUE;['order', 'data', 'call', 'got', 'finish', 'work', 'product']
1;NOTISSUE;['love', 'phone']
2;NOTISSUE;['finish', 'product']
3;NOTISSUE;['not', 'happier']
4;NOTISSUE;['look', 'headset', 'long', 'time', 'got']
5;NOTISSUE;['headset', 'start', 'ring', 'no', 'reason']
6;NOTISSUE;['display', 'excel', 'camera', 'good', 'year']
7;NOTISSUE;['battery', 'life', 'great']
8;NOTISSUE;['worst', 'phone', 'had', 'month']
9;NOTISSUE;['not', 'good', 'item', 'work', 'start', 'have', 'problem', 'auto', 'revers', 'tape', 'player']
10;NOTISSUE;['embarrass', 'ear', 'hurt', 'try', 'push', 'ear', 'plug', 'ear']
11;NOTISSUE;['protect', 'phone', 'side']
12;NOTISSUE;['average', 'phone', 'bad', 'battery', 'life', 'over', 'weak', 'network']
13;NOTISSUE;['clear', 'skye', 'call', 'long', 'battery', 'life', 'long', 'rang']
14;NOTISSUE;['solo', 'technology', 'suck']
15;NOTISSUE;['great', 'hand', 'free', 'device']
16;NOTISSUE;['self', 'portrait', 'outside', 'exterior', 'display', 'cool']
17;NOTISSUE;['problem', 'mention']
18;NOTISSUE;['try', 'handsome', 'gadget', 'final', 'work', 'well']
19;NOTISSUE;['magic', 'help']
20;NOTISSUE;['worst', 'piece', 'crap', 'version', 'custom', 'service']
21;NOTISSUE;['poor', 'sound', 'quality']
22;NOTISSUE;['best', 'phone', 'market']
23;NOTISSUE;['work', 'well']
24;NOTISSUE;['company', 'ship', 'product', 'promptly', 'work', 'well']
25;NOTISSUE;['exactly', 'want']
26;NOTISSUE;['picture', 'resolute', 'far', 'compare', 'price', 'phone', 'offer', 'today']
27;NOTISSUE;['great', 'deal']
28;NOTISSUE;['excel', 'product', 'satisfy', 'purchas']
29;NOTISSUE;['highly', 'recommend', 'encourage', 'people', 'try']
30;NOTISSUE;['better', 'you', 'd', 'expect']
31;NOTISSUE;['earpiece', 'left', 'right', 'thing', 'not', 'stay', 'ear']
32;NOTISSUE;['great', 'product', 'price']
33;NOTISSUE;['sound', 'good', 'reason', 'price', 'effect', 'simply']
34;NOTISSUE;['disappoint']
35;NOTISSUE;['prompt', 'service']
36;NOTISSUE;['excel', 'product', 'price']
