id,text,label
0,have order data cable get well finish work product,1
1,love phone,1
2,get well finish product,1
3,not be happier,1
4,look headset long time have get,1
5,headset start ring no reason,0
6,display excellent camera good year,1
7,battery life great,1
8,worst phone have have have month,0
9,not good item work start have problem auto reverse tape player,0
10,embarrass ear hurt try push ear plug ear,0
11,protect phone side,1
12,average phone bad battery life operate weak network,0
13,clear skye call long battery life long range,1
14,solo technology suck,0
15,great hand free device,1
16,take self portrait outside exterior display cool,1
17,problem have mention,0
18,try handsfree gadget one finally work well,1
19,magical help,1
20,worst piece crap version customer service,0
21,poor sound quality,0
22,best phone market,1
23,work well,1
24,company ship product promptly work well,1
25,exactly want,1
26,picture resolution far comparably price phone offer today,0
27,great deal,1
28,excellent product be satisfy purchase,1
29,highly recommend encourage people give try,1
30,better expect,1
31,earpiece leave right thing not stay ear,0
32,great product price,1
33,sound good reasonably price effective simple,1
34,disappointment,0
35,prompt service,1
36,excellent product price,1
37,please headset,1
38,do not waste money time,0
39,especially love long battery life,1
40,stupid have keep buy new charger car charger cradle headphone car kit time new phone come out,0
41,work great,1
42,plantronics bluetooth excellent buy,1
43,come version singular have nicer cell phone thing notice bad service,0
44,be look new earpiece,1
45,be look new earpiece jawbone era awesome too,1
46,receive white color battery go dead couple hoursthe original use week last longer thereplacement,0
47,year battery go completely dead headset,0
48,have use phone two year one best,1
49,awesome new look fall 200,1
50,phone have have have be cheaply make,1
51,att not clear sound distort have yell talk,0
52,price good too,1
53,plastic break easy clip,0
54,do not make mistake do,0
55,oh forget mention weird color effect have phone,0
56,be river spine with case fit fine,1
57,area unit break be not fond magnetic strap,0
58,overall be psyched have phone have appointment contact get great reception,1
59,thing phone work perfectly like it,1
60,note phone s appearance look bland especially black model,0
61,easy,1
62,sanyo have survive dozen drop blackton ill effect,1
63,fantastic earphone,1
64,find cell phone right away enter car,1
65,low quality,0
66,do get better reception clarity phone have have before,1
67,warn stay away,0
68,wish return unit get back money,0
69,awesome device work great,1
70,use talk one one 1 2 hour battery be literally drain die,0
71,do not find it bad again unit come one arpad only i not recommend anyone,1
72,displease,0
73,have get defect not risk buy again build quality alone,1
74,make case small difficult install,0
75,restore phone like new performance,1
76,recommend purchase cabra x 10 series two work flawlessly moto q go figure,1
77,search internet find one be best value,1
78,do not fit,0
79,happy product,1
80,screen size big key pad light well enough camera quality excellent camera phone,1
81,nothing bad say headset,1
82,be glad find product amazon hard find not high price,1
83,portable work,1
84,colleague get great reception a little expensive performance great,1
85,fully charge go bed turn blue tooth wi fi notice have twenty leave morning,0
86,have have problem phone read memory card turn again,0
87,not good wear hat sunglass,0
88,timely shipment quality product,1
89,nice solid keyboard,1
90,well make fit surefire x2 perfectly,1
91,horrible phone,0
92,bt battery junk,0
93,recommend others,1
94,not get software work computer,0
95,disappoint,0
96,poor voice clarity,0
97,battery work great,1
98,no buyer remorse one,1
99,disappoint accessory,0
100,find inexcusable probably be return phone change carrier,0
101,look great strong,1
102,have have mobile service two year now be pretty happy it,1
103,update procedure difficult cumbersome,1
104,disappointment hate go ear,0
105,great software motorola,1
106,delivery time,1
107,easy use,1
108,uncomfortable ear do house lg 69900 env,0
109,volume switch rocket unit destination unknown,0
110,hold charge long time reasonably comfortable long wear condition quality sound tremendous,1
111,like return it,0
112,keyboard worthwhile usefulness sturdy do not expect problem,1
113,version s bill however difficult understand price plan simple,0
114,charge overnight battery work great,1
115,wil not regret it,1
116,love phone,1
117,disappointment,0
118,not user friendly,0
119,unfortunately ability actually know receive call important feature phone pitiful respect,0
120,exchange phone have problem,0
121,result phone be stick max volume mute,0
122,public display affection rock,1
123,super charge use small hybrid palmtop camera cellphone excel role,1
124,definitely recommend cabra tk50 v look comfort clarity great price,1
125,have version two year ago like service,1
126,pretty piece junk,0
127,plug wrong size,0
128,work describe,1
129,save money have have item month now,0
130,bad purchase,0
131,well im satisfy,1
132,bose noise cancel amaze important nec commuter,1
133,battery excellent bargain,1
134,defective crap,0
135,have give no star able,0
136,wear glass fit fine them,1
137,sound quality device unacceptable unless quiet area hear nothing,0
138,not recommend item anyone,0
139,holster arrive not match photo ad,0
140,great no problem all,1
141,earlier review note plug charger nothing happen,0
142,frog phone charm adorable eye catch,1
143,never know push hard right number time function want not,0
144,sound clear people talk amaze quality too,1
145,get aluminum case new palm v work well it have protect handheld perfectly far,1
146,good product well make,1
147,mobile phone tool have,1
148,be impress job motorola steadiness phone,1
149,receive order well ship timeframe everything good work order overall be excite have source,1
150,phone sturdy waterproof,1
151,be not impress not recommend item anyone,0
152,complaint standard sound volume little low turn 5 of 5,0
153,thank again amazon have thing need good price,1
154,end slide edge pant back pocket instead,1
155,have go store buy new nokia phone work great,1
156,work great,1
157,ugly,0
158,horrible have switch time,0
159,noise shield incredible,1
160,no real improvement,0
161,razor battery good buy,1
162,keep good work amazon,1
163,refuse refund replace,0
164,unfortunately easy accidentally activate gentle touch button accidentally touch phone face listen,0
165,basically throw money window nothing,0
166,great case price,1
167,take one drop six inch kitchen counter crack i be not impress be not laugh,0
168,bluetooth range good day ago leave phone trunk get call carry conversation hitch,1
169,small sleek impressive look practical setup ample storage place,1
170,largely channel sound directly ear seem increase sound volume clarity,1
171,none new one have work properly,0
172,be glad purchase it,1
173,have miss numerous call reason,0
174,phone defective people hear use this,0
175,do notably product,0
176,suck stuff do not work phone,0
177,no shift no bubble no peel not scratch nothing i note happier new one droid,1
178,worst software use give zero star would,0
179,try make call exercise frustration,0
180,case flimsy piece plastic have no protection whatsoever,0
181,cabra barset happy it sound quality especially outgo better,1
182,love camera pretty good quality,1
183,thank great service,1
184,total package,1
185,seller understand patient definitely buy again,1
186,give firefly one star i contact singular at t inform practice,0
187,aggravate,0
188,great product price,1
189,have purchase family friend enjoy clarity ease use,1
190,virgin wireless rock do cheap little phone,1
191,none work,0
192,do notably it,0
193,muddy low quality sound case wire s insert poorly super glue slide off,0
194,please do not waste money,0
195,all be satisfy purchase,1
196,look good quality headset keep look nott,0
197,plantronincs continue use flaw charger design,0
198,not best one,0
199,best one,1
200,disappoint result,0
201,cumbersome design,0
202,great new package nice work good,1
203,no problem come time expect,1
204,great product,1
205,piece crap,0
206,experience terrible,0
207,fourth bluetooth headset,0
208,comfortable one,1
209,hat,0
210,fix problem,1
211,worst ever,0
212,be happy,1
213,have have no trouble access internet download intone perform function,1
214,barely hear be constantly say what,0
215,battery life highly unacceptable,0
216,company joke,0
217,do everything description say would,1
218,happen call force stop headset,0
219,work great car charger especially plug two adapter time,1
220,version tech support walk procedure none work end have do hard re set wipe data,0
221,voice quality signal strength drop call,0
222,play louder speaker size price low think quality lack however not,1
223,better expect,1
224,feel poorly construct menu difficult navigate button recess difficult push them,0
225,battery hold well,1
226,difficult on i d recommend avoid product,0
227,use two day not easy hear with,0
228,get car charger not week charger break i go plug start smoke,0
229,sprint terrible customer service,0
230,link phone effort,1
231,cool,1
232,easy use,1
233,better new,1
234,posse get junk have no idea,0
235,piece trash,0
236,pretty good product,1
237,great phone,1
238,price amazon excellent product highly recommend,1
239,research development division obviously know do,1
240,real killer volume course break,0
241,phone work fine now,1
242,be happy product one,1
243,poor construction,0
244,infuriate,0
245,overall recommend phone new walkman,1
246,sprint charge service,1
247,cheap feel look cheap,1
248,fit ear well comfortable on,1
249,do network europe asia,0
250,clip belt definitely make feel like fifty cent s up and come,1
251,like design look cabra be ear headset five thousand twenty pretty comfortable wear twenty four hour day pain ear,1
252,amaze quick arrival two original lg cell phone battery fraction price,1
253,worst phone samsung crap crappy samsung 1715 worst have see,1
254,charger work week completely stop charge phone,0
255,poor product,0
256,need better instruction,0
257,need two hand operate screen this software interface decade old compete new software design,0
258,work well pair tree seven w skye headset personal computer use usb bluetooth transceiver,1
259,steer clear product go genuine palm replacement pen come three pack,1
260,do not buy do not but suck,0
261,great product sure beat finger,1
262,plus seriously do not believe worth steep price point,0
263,case have try normally fall apart month one seem be long haul,1
264,disappoint performance,0
265,do normale mistake please do notably phone,0
266,phone well be worst have have brand,0
267,case extra originally later discard scratch ear,0
268,recommend go different brand cell phone mp player family,1
269,do not bother go store,1
270,post detail comment grey black phone have fire red great color,1
271,not have problem item order again need,1
272,get pay guess,0
273,not software do great job this make intone form exist cd internet connection,1
274,im surprise good quality car charger not review it,1
275,fabulous,1
276,however bt headset currently not good real time game like first person shooter audio delay mess up,0
277,price cable excellent,1
278,disappoint accessory good manufacturer,0
279,perform awful muffle tinny incoming sound severe echo end call,0
280,wind resistant,1
281,obviously have terrible customer service get pay for,1
282,do not forever,0
283,it not overly expensive replace,1
284,easy operate sound better have try,1
285,contact company tell that unit warranty notproduce receipt luck,0
286,link have way exchange bad phone return unit something,1
287,phone sturdy nokia bar phone be,1
288,great phone,1
289,place tree case not not snug lot extra room side,0
290,be please,1
291,battery terrible,0
292,find product be easy set use,1
293,earpiece large heavy it keep fall ear,0
294,utter crap sound quality terrible,0
295,charger arrive promise timeframe not work,0
296,no ear loop need tiny sound great,1
297,finally four time spring latch break not use longer visor,0
