id,text,label
0,order data cabl got finish work product,NOTISSUE
1,love phone,NOTISSUE
2,finish product,NOTISSUE
3,not happier,NOTISSUE
4,look headset long time got,NOTISSUE
5,headset start ring reason,ISSUE
6,displai excel camera good year,NOTISSUE
7,batteri life great,NOTISSUE
8,worst phone had month,ISSUE
9,not good item work start have problem auto revers tape player,ISSUE
10,embarass ear hurt try push ear plug ear,ISSUE
11,protect phone side,NOTISSUE
12,averag phone bad batteri life oper weak network,ISSUE
13,clear skype call long batteri life long rang,NOTISSUE
14,soyo technolog suck,ISSUE
15,great hand free devic,NOTISSUE
16,self portrait outsid exterior displai cool,NOTISSUE
17,problem mention,ISSUE
18,try handsfre gadget final work well,NOTISSUE
19,magic help,NOTISSUE
20,worst piec crap verizon custom servic,ISSUE
21,poor sound qualiti,ISSUE
22,best phone market,NOTISSUE
23,work well,NOTISSUE
24,compani ship product promptli work well,NOTISSUE
25,exactli want,NOTISSUE
26,pictur resolut far compar price phone offer todai,ISSUE
27,great deal,NOTISSUE
28,excel product satisfi purchas,NOTISSUE
29,highli recommend encourag peopl try,NOTISSUE
30,better you d expect,NOTISSUE
31,earpiec left right thing not stai ear,ISSUE
32,great product price,NOTISSUE
33,sound good reason price effect simpl,NOTISSUE
34,disappoint,ISSUE
35,prompt servic,NOTISSUE
36,excel product price,NOTISSUE
37,pleas headset,NOTISSUE
38,not wast monei time,ISSUE
39,especi love long batteri life,NOTISSUE
40,stupid bui new charger car charger cradl headphon car kit time new phone come out,ISSUE
41,work great,NOTISSUE
42,plantron bluetooth excel bui,NOTISSUE
43,came verizon cingulair nicer cell phone thing notic bad servic,ISSUE
44,look new earpiec,NOTISSUE
45,look new earpiec jawbon era awesom too,NOTISSUE
46,receiv white color batteri goe dead coupl hoursth origin week last longer thereplac,ISSUE
47,year batteri went complet dead headset,ISSUE
48,phone year best,NOTISSUE
49,awesom new look fall 2000,NOTISSUE
50,phone cheapli made,NOTISSUE
51,att not clear sound distort yell talk,ISSUE
52,price good too,NOTISSUE
53,plastic break easi clip,ISSUE
54,not mistak did,NOTISSUE
55,forgot mention weird color effect phone,ISSUE
56,i m iriv spinn with case fit fine,NOTISSUE
57,area unit broke i m not fond magnet strap,ISSUE
58,overal psych phone appoint contact get great recept,NOTISSUE
59,thing phone work perfectli like it,NOTISSUE
60,note phone s appear look bland especi black model,ISSUE
61,easi,NOTISSUE
62,sanyo surviv dozen drop blacktop ill effect,NOTISSUE
63,fantast earphon,NOTISSUE
64,find cell phone right awai enter car,NOTISSUE
65,low qualiti,ISSUE
66,better recept clariti phone befor,NOTISSUE
67,warn stai awai,ISSUE
68,wish return unit monei,ISSUE
69,awsom devic work great,NOTISSUE
70,talk 1 2 hour batteri liter drain dy,ISSUE
71,not find it bad unit come earpad onli i not recommend anyon,NOTISSUE
72,displeas,ISSUE
73,gotten defect not risk bui built qualiti alon,NOTISSUE
74,case small difficult instal,ISSUE
75,restor phone like new perform,NOTISSUE
76,recommend purchas jabra jx 10 seri work flawlessli moto figur,NOTISSUE
77,search internet found best valu,NOTISSUE
78,not fit,ISSUE
79,happi product,NOTISSUE
80,screen size big kei pad lit enough camera qualiti excel camera phone,NOTISSUE
81,there s bad headset,NOTISSUE
82,i m glad found product amazon hard find not high price,NOTISSUE
83,portabl work,NOTISSUE
84,colleagu great recept a littl expens perform great,NOTISSUE
85,fulli charg went bed turn blue tooth wi fi notic left morn,ISSUE
86,problem phone read memori card turn again,ISSUE
87,not good wear hat sunglass,ISSUE
88,time shipment qualiti product,NOTISSUE
89,nice solid keyboard,NOTISSUE
90,fit surefir gx2 perfectli,NOTISSUE
91,horribl phone,ISSUE
92,bt50 batteri junk,ISSUE
93,recommend other,NOTISSUE
94,cant softwar work comput,ISSUE
95,disappoint,ISSUE
96,poor voic clariti,ISSUE
97,batteri work great,NOTISSUE
98,buyer remors on,NOTISSUE
99,disappoint accessoryon,ISSUE
100,find inexcus probabl return phone chang carrier,ISSUE
101,look great strong,NOTISSUE
102,tmobil servic year now pretti happi it,NOTISSUE
103,updat procedur difficult cumbersom,NOTISSUE
104,disappoint hate goe ear,ISSUE
105,great softwar motorola,NOTISSUE
106,deliveri time,NOTISSUE
107,easi us,NOTISSUE
108,uncomfort ear notus vx9900 env,ISSUE
109,volum switch rocket unit destin unknown,ISSUE
110,hold charg long time reason comfort long wear condit qualiti sound tremend,NOTISSUE
111,i d like return it,ISSUE
112,keyboard worthwhil us sturdi notexpect problem,NOTISSUE
113,verizon s bill howev difficult understand price plan simpl,ISSUE
114,charg overnight batteri work great,NOTISSUE
115,notregret it,NOTISSUE
116,love phone,NOTISSUE
117,disappoint,ISSUE
118,not user friendli,ISSUE
119,unfortun abil actual know receiv import featur phone piti respect,ISSUE
120,exchang phone problem,ISSUE
121,result phone stuck max volum mute,ISSUE
122,pda rock,NOTISSUE
123,super charg us small hybrid palmtop camera cellphon excel role,NOTISSUE
