,text,label
0,have order data cable get well finish work product,NOTISSUE
1,love phone,NOTISSUE
2,get well finish product,NOTISSUE
3,not be happier,NOTISSUE
4,look headset long time have get,NOTISSUE
5,headset start ring no reason,ISSUE
6,display be excellent camera be good year,NOTISSUE
7,battery life be great,NOTISSUE
8,worst phone have have have month,ISSUE
9,not good item work start have problem auto reverse tape player,ISSUE
10,be embarrass ear hurt try push ear plug ear,ISSUE
11,protect phone side,NOTISSUE
12,be average phone bad battery life operate weak network,ISSUE
13,clear skye call long battery life long range,NOTISSUE
14,solo technology suck,ISSUE
15,great hand free device,NOTISSUE
16,take self portrait outside exterior display cool,NOTISSUE
17,problem have mention,ISSUE
18,try handsfree gadget be one finally work well,NOTISSUE
19,magical help,NOTISSUE
20,worst piece crap version customer service,ISSUE
21,poor sound quality,ISSUE
22,best phone market,NOTISSUE
23,work well,NOTISSUE
24,company ship product promptly work well,NOTISSUE
25,exactly want,NOTISSUE
26,picture resolution be far comparably price phone offer today,ISSUE
27,be great deal,NOTISSUE
28,excellent product be satisfy purchase,NOTISSUE
29,highly recommend encourage people give try,NOTISSUE
30,better expect,NOTISSUE
31,earpiece leave right thing not stay ear,ISSUE
32,great product price,NOTISSUE
33,sound good reasonably price effective simple,NOTISSUE
34,disappointment,ISSUE
35,prompt service,NOTISSUE
36,excellent product price,NOTISSUE
37,please headset,NOTISSUE
38,do not waste money time,ISSUE
39,especially love long battery life,NOTISSUE
40,be stupid have keep buy new charger car charger cradle headphone car kit time new phone come out,ISSUE
41,work great,NOTISSUE
42,plantronics bluetooth excellent buy,NOTISSUE
43,come version singular have nicer cell phone thing notice bad service,ISSUE
44,be look new earpiece,NOTISSUE
45,be look new earpiece jawbone era be awesome too,NOTISSUE
46,receive white color battery go dead couple hoursthe original use week last longer thereplacement,ISSUE
47,year battery go completely dead headset,ISSUE
48,have use phone two year one be best,NOTISSUE
49,awesome new look fall,NOTISSUE
50,be phone have have have be cheaply make,NOTISSUE
51,att be not clear sound be distort have yell talk,ISSUE
52,price be good too,NOTISSUE
53,plastic break easy clip,ISSUE
54,do not make mistake do,NOTISSUE
55,oh forget mention weird color effect have phone,ISSUE
56,be river spine with case fit fine,NOTISSUE
57,area unit break be not fond magnetic strap,ISSUE
58,overall be psyched have phone have appointment contact get great reception,NOTISSUE
59,thing phone work perfectly like it,NOTISSUE
60,note phone s appearance be look bland especially black model,ISSUE
61,be easy,NOTISSUE
62,sanyo have survive dozen drop blackton ill effect,NOTISSUE
63,fantastic earphone,NOTISSUE
64,find cell phone right away enter car,NOTISSUE
65,low quality,ISSUE
66,do get better reception clarity phone have have before,NOTISSUE
67,warn stay away,ISSUE
68,wish return unit get back money,ISSUE
69,awesome device work great,NOTISSUE
